                          _
  ___   ____   _ _   ___ (_)  ___   ____   _ __   ____
 / __\ / __ \ | '_ \/_  '| | / __\ / __ \ | '__\ / __ \
2018-05-26 19:04:50 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading Comikaze feed
2018-05-26 19:04:50 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:04:50 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for Comikaze -> 0
2018-05-26 19:04:50 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading D-Strip-Ando feed
2018-05-26 19:04:50 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:04:50 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for D-Strip-Ando -> 0
2018-05-26 19:04:50 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading Cómic Manía feed
2018-05-26 19:04:51 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:04:51 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for Cómic Manía -> 0
2018-05-26 19:04:51 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading Los Forasteros feed
2018-05-26 19:04:51 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:04:51 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for Los Forasteros -> 0
2018-05-26 19:04:51 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading El Tribunal de los Superweyes feed
2018-05-26 19:04:52 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:04:52 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for El Tribunal de los Superweyes -> 0
2018-05-26 19:04:52 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading Nerdulería feed
2018-05-26 19:04:52 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:04:52 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for Nerdulería -> 0
2018-05-26 19:04:52 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading La Cueva Del Nerd feed
2018-05-26 19:04:52 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
